MappingID2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,SuperClust
738,1,-0.0196563853852225,0.0265069762900163,0.0044629235696187,-0.00120121560979827,0.0293295536524087,0.0224594275101977,0.0606421602107091,0.0427631206504821,0.00168063370243802,0.00584827686405173,0.00210900559386652,-0.0059961384890955,-0.00212216654785804,0.000238359847530107,-0.00329375780450776,-0.000990627828326788,0.0026415190625743,-0.00365342141152449,0.00073590095161612,0.00435438240225697,5
770,2,0.0184204496264467,0.00204882437792887,-0.020576541560401,-0.00200339661318043,-0.0110294217869613,0.0301613150684993,-0.0124597820976856,0.016331548780489,3.41223710532257e-05,0.0181173096352463,0.0128546877470763,-0.00765442522424017,-0.00532970629016132,-0.00744434535857147,-0.0167525822942511,0.000332363012859062,-0.0144250681793875,0.00399316294797236,0.0195424775089268,-0.00440445544154927,6
62,3,0.00832290512178505,-0.00481060552741671,-0.00578220449621357,-0.0343138070601597,-0.00307188759104573,-0.0075182186528832,0.00865747730011332,-0.000864073503779694,-0.00459152763671436,0.00282662897025967,-0.0189490081461933,-0.0317710980902856,0.00768506924724592,0.0218031414012945,-0.0066865275682582,-0.0108290107534642,-0.00451952090977316,0.00717601029463147,-0.0205235174872475,0.0205264180240583,6
599,4,-0.0236655104507717,0.0311981171826922,0.00642604791210373,-0.00332374535677081,0.0130526959028859,0.00373235977678804,-0.0309086220835148,-0.0274262355327113,0.00240476873280379,-0.0241021343971902,-0.00668935495847269,-0.0220788617174212,-0.0204985774776498,-0.0030930087299967,-0.0139403266294156,0.01679608724937,0.00513603159044195,0.00416502441976287,-0.000378289577705285,0.00302180843689103,5
687,5,-0.0153555496520663,0.0123828412674259,0.00256845701564118,-0.00672022172541588,0.0113365539100265,0.00187893352997393,-0.00957253163142602,-0.00557847629119269,0.000144461028640984,-0.0013953443972819,0.00436828270145653,0.00466942322385015,0.00884666756240054,-0.00608606453290421,0.00672242807749606,0.00165935591033189,0.00140090496048348,-0.00244794339772965,-0.00313512506022864,-0.00189718826226597,5
743,6,-0.0168520106887723,0.021514640471297,0.0027571916124296,-0.000137777260888834,0.0200795389747591,0.00907621456845451,0.0375249225823874,0.0197730021755756,-0.00723334325088668,0.00988416997491143,-0.000524214037516812,0.00999407119794253,0.00744066393231697,-0.00255282475364143,-0.00544947054831011,-0.000308621176276518,0.000634650097898178,0.0132367272763668,-0.00528399874518898,0.00900838051024411,5
605,7,-0.0234897093111507,0.024147899361717,0.00614203565096638,-0.00477488017713016,0.0102224454797998,0.00502821429573526,-0.00646402549426539,-0.00691963694040539,0.00152081340233846,-0.00779195419730087,0.00124180935097708,0.000106837955523557,-0.00946674313781549,-0.00248304446728584,-0.00789853572690787,0.00921294161373101,0.000810367149841038,-0.00140638177779487,-0.00357265478832612,-0.00503010481032155,5
298,8,-0.013798231359944,-0.0318432448288098,0.00519296851034007,-0.0146087685944365,0.025592015508887,0.00235979634903348,-0.0214837137181323,-0.00988184965270585,0.00425184959024138,0.0316689554357162,0.00433747462381554,0.0261406601192281,0.0248749735645154,0.0193081413980161,0.0196645625798132,-0.0557070447385242,-0.0155592257874273,-0.00815003707637386,-0.00869243536383849,-0.0162522263870141,4
498,9,-0.0277014963182786,-0.0207220461854147,0.0106610223079513,0.0164645005846481,-0.0294024511424394,-0.00447802475126447,0.00522332529851932,9.77867245254803e-05,0.000458873221174376,0.00137773262831566,-0.00412025174852397,0.00708097937774178,-0.00499127339894465,0.00111270939180237,-0.00609377637622781,-0.00106410876647514,-0.033986065030234,-0.0046888175505692,-0.00384792069536766,-0.000212649398719861,2
863,10,-0.0108673055008864,0.00666226047445895,-0.00424520342255232,0.00700955852664899,0.00627811485577798,0.00164271128787702,0.0286319798494593,0.00848243295634812,0.00738272876247635,0.0138283861892473,-0.00745495826580626,-0.00540146322692864,-0.013104316922934,0.00896101773540205,-0.00723746084884236,0.00707514806818216,-0.00864431796943841,0.0105502877613677,0.00224797022950108,0.00333480154980664,5
367,11,0.0105575715183019,-0.0048639323345732,-0.00747311867659055,-0.0554496986634066,-0.0144136646792069,-0.0344320494723918,-0.00126813018989221,0.0319668951523245,2.06264369564562e-05,-0.0334465164867547,0.00483197501238035,0.0103730774016616,-0.00786280963682075,-0.00337577052854366,-0.000126780087212547,0.00372796194381683,-0.0281656589562677,0.00530424183281995,0.00924299425029083,-0.00608056496356034,6
321,12,-0.0228011866805819,0.027526622837143,0.0052155649204345,-0.00242853399117847,0.00857561697088465,0.00155187506177052,-0.0213161253443455,-0.0247852861801231,-0.00413599497778877,-0.0104634234362481,0.00677013987429203,0.00187051670767604,-0.00893962701658597,-0.00322254698529467,-0.00046727720460467,0.00822536968676963,-0.00387977855795601,0.00354949623081755,-0.0026362538131799,-0.0110679303978915,5
348,13,-0.0100218319487519,0.0150113800115704,-0.00348434362953812,0.00080886008799881,0.00914105403727597,1.12151627415317e-05,0.00809752663595903,0.00316938910154023,0.0015075375049546,-0.0041872766923805,-0.00357304852034473,-0.00588353869328076,-0.0037297986122278,0.00811114954945266,-0.0020094668085493,0.0017653726760648,-0.000518096338538089,0.00112077109945366,0.00115132554002261,0.00452987802941631,5
368,14,-0.0109807151439484,0.0149119800835623,0.000239661715541119,-0.0237823946935419,0.0199285901055,-0.0041178235514431,-0.0205545369980727,-0.00167968177568642,-0.00335842973038046,0.0164072892955579,0.00882690974154165,0.0129789980088517,0.0301672197020044,-0.000909589183960565,0.00863271659172194,-0.0302155781560232,-0.00972585635777562,0.00927205766779141,-9.84110871472529e-06,-0.0185768642903304,4
425,15,0.0335387343236539,0.00206616086993958,0.0217546800483234,0.00436885389846001,-0.0014261605240412,-0.00211425752598594,0.00534671047823687,0.00179657677484209,0.0108190342983039,0.000734702610446984,-0.00117368441156503,0.0010294521224647,-0.0137166063822337,-0.0216784384359119,0.0262699667573103,-0.0104248039545699,0.0223354174359899,-0.0117316049452169,-0.0103541314729879,-0.0073729017323747,6
236,16,-0.020992739851779,0.0251081184113651,0.00391982064956471,-0.000747918720910296,0.0256853211696498,0.0119105884075317,0.0331080696252082,0.0188332923152496,-0.00289969420200947,-0.00974449651090022,0.00744308458466735,0.0234468259459128,-0.0135183546394549,-0.00806034136449569,0.00512135718692014,-8.03229117419066e-05,0.00722923786349068,-0.0120469801062308,-0.00331458939806705,0.00779762685743864,5
