 PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 IID ancestry
0 0.0112500861838638 -0.027194345527596 -0.012236372223984 0.0175894178077578 -0.0012337568845841 0.0066082055392303 0.0018717039074032 -0.0189321999207581 0.0106837270343912 0.0145573016614206 -0.0036002727419971 -0.0265196236417788 0.0018721206761775 0.0142951981149257 0.0267136305158886 -0.0126394541424266 0.0007674364053303 -0.0056344250486659 0.0132434978742158 -0.0016235976043575 HG00096 EUR
1 0.0110286036759116 -0.0267717615881825 -0.0108182006074181 0.0168259063144621 0.0009652466128276 0.0075953417967143 0.0076707712582305 -0.030977553593755 0.0099480062661394 0.0058136395308182 0.0043312721662949 0.0014437894258517 0.0082924019736912 0.0173592222391624 0.0191409196394481 -0.0081703836190666 0.0012746135899873 0.0026927946869961 0.0107537010143682 0.0056113672231406 HG00097 EUR
2 0.0113101007552208 -0.0268749761621606 -0.0117641612987004 0.0158174899304485 0.0010320715162548 0.0060901009566722 0.0056544726455064 -0.034135942094984 0.0114904235640181 0.0120787472229023 0.0074525305503484 0.0006889938178624 0.0033532283823014 0.0202642423920699 0.0213981200382902 -0.0132091464427085 0.0078000412729799 0.0023973737696856 -0.0027291994426972 0.0038886267454753 HG00099 EUR
3 0.0109220667457976 -0.0270215112866295 -0.012180275612706 0.0183762823754117 -0.000705940426475 0.0042998575679245 -0.0030721973825627 -0.0023986911930135 0.0013559179236305 0.0157800939909126 -0.0066939459703642 0.0407935263853866 -0.0115832250942639 0.0171237844515332 0.0195949390119993 -0.0060293968560916 0.0081130521321626 0.0051913169633217 0.0001125174913558 0.0098733698643618 HG00100 EUR
4 0.0111895723313167 -0.0268005106565258 -0.0123875827983129 0.0165469290654219 0.0019375907603357 0.005802002429486 0.0026803273320494 -0.0290418952422146 0.0082607927245276 0.0106315142525755 0.0081037554741059 0.0077292705414759 0.0070588251265941 0.019129498050495 0.0394418496053619 -0.0126766294182628 0.007005038247502 -0.0006411585782686 0.0022920379304806 0.005298476931701 HG00101 EUR
5 0.0114620984734273 -0.026812511234565 -0.0114191113427925 0.0171570647346746 0.0003701043352036 0.0074646082500722 0.0010827531296858 -0.027819895170461 0.0052860300754976 0.0081275104067395 0.0030603814001342 0.0074486053312955 0.0039986899267689 0.0164583331019612 0.0328684000200458 -0.0132457219221949 0.006091217038451 0.000315107860522 0.0066444517713932 0.0129419840089127 HG00102 EUR
6 0.0112462897657549 -0.0266068440366188 -0.0117679116879005 0.0174435093396672 -0.0012414174307421 0.0047273690225323 0.0050597430810885 -0.0223324017281812 0.0103858266445215 0.0154606625494355 0.0081945440124455 -0.0215471664514636 0.0045864722021112 0.0075587377438079 0.0240395497631071 -0.0115237771683063 -0.0015198098093743 -0.001954083616976 0.0122457312207988 0.0012347646552074 HG00103 EUR
7 0.0111108345190363 -0.0265249313923394 -0.0113741571374451 0.0172092359919221 0.001566450272626 0.0061013177098447 0.0074391473265327 -0.0278871156121781 0.0083663610737544 0.0110457867491931 0.002586471498362 0.0063615293211447 0.0125143505226069 0.0187373150739002 0.0273746304481416 -0.0067467072092858 0.0066012732651648 0.0062619574062136 -0.0019292632886433 -0.0024672966656109 HG00105 EUR
8 0.0113206299241801 -0.0270916489401772 -0.011234045801873 0.0163500214673503 0.0048018902382312 0.0042941254602444 0.0070273502300246 -0.0252051813809668 0.0098930141758622 0.0069735574819844 0.0084678796946254 0.0205770107666977 0.0036560170339014 0.0206913487620012 0.0168500031194153 -0.0092586448729206 0.0048304845699191 0.0064393809813818 -0.0031847401688 0.002640899544966 HG00106 EUR
9 0.0115164922113803 -0.0265789028746058 -0.0120131475614224 0.0162649850579296 0.0004348469673465 0.003374226423196 0.0024097312488172 -0.0285408009335625 0.0086844785364871 0.0075461015011098 0.0081276850452637 0.0128013329049378 0.0078386626003269 0.0116578910949748 0.0320226697715435 -0.017509501776281 0.0051855016457142 -0.0016345115143472 0.0029240389455641 0.0008531812944733 HG00107 EUR
10 0.0112990955542063 -0.0265794932497428 -0.0126751401343559 0.0191481883595449 0.0005786988775797 -0.0104830902470492 -0.0239873385534548 0.0048346894498696 -0.0019722579143631 -0.0118052137695159 0.0077770472631514 0.0013362886837484 -0.0035162212241293 0.0121641746627298 0.0215173631465723 -0.0083621220359551 0.0007551715528295 -0.0132523763495291 0.010688061466252 -0.0010759844088312 HG00108 EUR
11 0.0113133871643611 -0.0268315208095868 -0.012910983947967 0.020103678467876 0.0028375156637512 -0.0094526920734219 -0.0115467204852899 -0.0008441768322625 5.45296496968685e-05 -0.0168983264011943 0.0183468181831257 0.0055524101843906 -0.000744357933786 0.014660643049767 0.0306751475059277 -0.0097899362306617 0.000271246458305 -0.0112976506383693 0.0153846614703066 0.0029142566622336 HG00109 EUR
12 0.011569448396622 -0.0264167312679801 -0.0124346189129932 0.0185250733542055 0.0028087827973235 -0.0098318012739135 -0.0181345294303545 -0.0018824077611116 0.001895281206817 -0.0144695141276314 0.0118995900780928 0.0013832773163161 8.95338554136858e-05 0.012026222188267 0.0311042253138124 -0.0132886039730728 0.0062979388617906 -0.0045944267686398 0.0136978359232551 -0.0017942179839115 HG00110 EUR
